initial obs: [-0.14658073  0.17696965  0.07282357]
step: 0 distance: 0.24084012 reward: -0.24084012
step: 1 distance: 0.24059816 reward: -0.24059816
step: 2 distance: 0.24036607 reward: -0.24036607
step: 3 distance: 0.24014026 reward: -0.24014026
step: 4 distance: 0.23992056 reward: -0.23992056
step: 5 distance: 0.23970689 reward: -0.23970689
step: 6 distance: 0.23949927 reward: -0.23949927
step: 7 distance: 0.23929764 reward: -0.23929764
step: 8 distance: 0.23910195 reward: -0.23910195
step: 9 distance: 0.23891217 reward: -0.23891217
step: 10 distance: 0.23872828 reward: -0.23872828
step: 11 distance: 0.23855025 reward: -0.23855025
step: 12 distance: 0.238378 reward: -0.238378
step: 13 distance: 0.23821156 reward: -0.23821156
step: 14 distance: 0.23805085 reward: -0.23805085
step: 15 distance: 0.23789586 reward: -0.23789586
step: 16 distance: 0.23774655 reward: -0.23774655
step: 17 distance: 0.23760289 reward: -0.23760289
step: 18 distance: 0.23746486 reward: -0.23746486
step: 19 distance: 0.23733239 reward: -0.23733239
step: 20 distance: 0.23720548 reward: -0.23720548
step: 21 distance: 0.23708409 reward: -0.23708409
step: 22 distance: 0.23696816 reward: -0.23696816
step: 23 distance: 0.23685768 reward: -0.23685768
step: 24 distance: 0.23675261 reward: -0.23675261
step: 25 distance: 0.23665294 reward: -0.23665294
step: 26 distance: 0.23655859 reward: -0.23655859
step: 27 distance: 0.23646954 reward: -0.23646954
step: 28 distance: 0.23638578 reward: -0.23638578
step: 29 distance: 0.23630722 reward: -0.23630722
step: 30 distance: 0.23623388 reward: -0.23623388
step: 31 distance: 0.2361657 reward: -0.2361657
step: 32 distance: 0.23610264 reward: -0.23610264
step: 33 distance: 0.23604468 reward: -0.23604468
step: 34 distance: 0.23599173 reward: -0.23599173
step: 35 distance: 0.23594382 reward: -0.23594382
step: 36 distance: 0.23590088 reward: -0.23590088
step: 37 distance: 0.23586287 reward: -0.23586287
step: 38 distance: 0.23582977 reward: -0.23582977
step: 39 distance: 0.23580152 reward: -0.23580152
step: 40 distance: 0.2357781 reward: -0.2357781
step: 41 distance: 0.23575945 reward: -0.23575945
step: 42 distance: 0.23574553 reward: -0.23574553
step: 43 distance: 0.23573634 reward: -0.23573634
step: 44 distance: 0.23573181 reward: -0.23573181
step: 45 distance: 0.23573191 reward: -0.23573191
step: 46 distance: 0.23573661 reward: -0.23573661
step: 47 distance: 0.23574585 reward: -0.23574585
step: 48 distance: 0.23575959 reward: -0.23575959
step: 49 distance: 0.23577781 reward: -0.23577781
step: 50 distance: 0.23580046 reward: -0.23580046
step: 51 distance: 0.2358275 reward: -0.2358275
step: 52 distance: 0.23585889 reward: -0.23585889
step: 53 distance: 0.23589462 reward: -0.23589462
step: 54 distance: 0.2359346 reward: -0.2359346
step: 55 distance: 0.23597881 reward: -0.23597881
step: 56 distance: 0.23602723 reward: -0.23602723
step: 57 distance: 0.23607978 reward: -0.23607978
step: 58 distance: 0.23613648 reward: -0.23613648
step: 59 distance: 0.23619723 reward: -0.23619723
step: 60 distance: 0.23626202 reward: -0.23626202
step: 61 distance: 0.23633084 reward: -0.23633084
step: 62 distance: 0.23640357 reward: -0.23640357
step: 63 distance: 0.23648025 reward: -0.23648025
step: 64 distance: 0.2365608 reward: -0.2365608
step: 65 distance: 0.23664519 reward: -0.23664519
step: 66 distance: 0.23673339 reward: -0.23673339
step: 67 distance: 0.23682536 reward: -0.23682536
step: 68 distance: 0.23692103 reward: -0.23692103
step: 69 distance: 0.23702039 reward: -0.23702039
step: 70 distance: 0.2371234 reward: -0.2371234
step: 71 distance: 0.23723002 reward: -0.23723002
step: 72 distance: 0.2373402 reward: -0.2373402
step: 73 distance: 0.23745392 reward: -0.23745392
step: 74 distance: 0.23757112 reward: -0.23757112
step: 75 distance: 0.23769179 reward: -0.23769179
step: 76 distance: 0.23781587 reward: -0.23781587
step: 77 distance: 0.23794334 reward: -0.23794334
step: 78 distance: 0.23807412 reward: -0.23807412
step: 79 distance: 0.23820823 reward: -0.23820823
step: 80 distance: 0.2383456 reward: -0.2383456
step: 81 distance: 0.23848619 reward: -0.23848619
step: 82 distance: 0.23862997 reward: -0.23862997
step: 83 distance: 0.23877689 reward: -0.23877689
step: 84 distance: 0.23892695 reward: -0.23892695
step: 85 distance: 0.23908009 reward: -0.23908009
step: 86 distance: 0.23923627 reward: -0.23923627
step: 87 distance: 0.23939545 reward: -0.23939545
step: 88 distance: 0.23955761 reward: -0.23955761
step: 89 distance: 0.2397227 reward: -0.2397227
step: 90 distance: 0.2398907 reward: -0.2398907
step: 91 distance: 0.24006157 reward: -0.24006157
step: 92 distance: 0.24023524 reward: -0.24023524
step: 93 distance: 0.24041173 reward: -0.24041173
step: 94 distance: 0.24059097 reward: -0.24059097
step: 95 distance: 0.24077293 reward: -0.24077293
step: 96 distance: 0.24095759 reward: -0.24095759
step: 97 distance: 0.2411449 reward: -0.2411449
step: 98 distance: 0.24133483 reward: -0.24133483
step: 99 distance: 0.24152735 reward: -0.24152735
episode end
